Id,ProductId,Score,Summary,Text,Date,Year,Month,Sentiment,Review_Length,Final_Text,Dominant_Topic
1,B001E4KFG0,5,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,2011-04-27,2011,2011-04,Positive,263,bought several vitality canned dog food product found good quality product look like stew processed meat smell better labrador finicky appreciates product better,3
2,B00813GRG4,1,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",2012-09-07,2012,2012-09,Negative,190,product arrived labeled jumbo salted peanut peanut actually small sized unsalted sure error vendor intended represent product jumbo,3
3,B000LQOCH0,4,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",2008-08-18,2008,2008-08,Positive,509,confection around century light pillowy citrus gelatin nut case filbert cut tiny square liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story c lewis lion witch wardrobe treat seduces edmund selling brother sister witch,3
4,B000UA0QIQ,2,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,2011-06-13,2011,2011-06,Negative,219,looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal,3
5,B006K2ZZ7K,5,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",2012-10-21,2012,2012-10,Positive,140,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,3
6,B006K2ZZ7K,4,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",2012-07-12,2012,2012-07,Positive,416,got wild hair taffy ordered five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much red black licorice flavored piece particular favorite kid husband lasted two week would recommend brand taffy delightful treat,3
7,B006K2ZZ7K,5,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",2012-06-20,2012,2012-06,Positive,304,saltwater taffy great flavor soft chewy candy individually wrapped well none candy stuck together happen expensive version fralinger would highly recommend candy served beach themed party everyone loved,3
8,B006K2ZZ7K,5,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,2012-05-03,2012,2012-05,Positive,140,taffy good soft chewy flavor amazing would definitely recommend buying satisfying,3
9,B000E7L2R4,5,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,2011-11-23,2011,2011-11,Positive,131,right mostly sprouting cat eat grass love rotate around wheatgrass rye,3
10,B00171APVA,5,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,2012-10-26,2012,2012-10,Positive,137,healthy dog food good digestion also good small puppy dog eats required amount every feeding,3
11,B0001PB9FE,5,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",2005-02-08,2005,2005-02,Positive,779,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,1
12,B0009XLVG0,5,"My cats LOVE this ""diet"" food better than their regular food","One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.",2010-08-27,2010,2010-08,Positive,328,one boy needed lose weight put food floor chubby guy protein rich product food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week,3
13,B0009XLVG0,1,My Cats Are Not Fans of the New Food,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",2012-06-13,2012,2012-06,Negative,399,cat happily eating felidae platinum two year got new bag shape food different tried new food first put bowl bowl sit full kitty touch food noticed similar review related formula change past unfortunately need find new food cat eat,3
14,B001GVISJM,4,fresh and greasy!,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,2010-11-05,2010,2010-11,Positive,97,good flavor came securely packed fresh delicious love twizzlers,3
15,B001GVISJM,5,Strawberry Twizzlers - Yummy,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,2010-03-12,2010,2010-03,Positive,113,strawberry twizzlers guilty pleasure yummy six pound around son,3
16,B001GVISJM,5,"Lots of twizzlers, just what you expect.",My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,2009-12-29,2009,2009-12,Positive,155,daughter love twizzlers shipment six pound really hit spot exactly would expect six package strawberry twizzlers,3
17,B001GVISJM,2,poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,2012-09-20,2012,2012-09,Negative,195,love eating good watching tv looking movie sweet like transfer zip lock baggie stay fresh take time eating,3
18,B001GVISJM,5,Love it!,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,2012-08-16,2012,2012-08,Positive,141,satisfied twizzler purchase shared others enjoyed definitely ordering,2
19,B001GVISJM,5,GREAT SWEET CANDY!,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",2011-12-23,2011,2011-12,Positive,746,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candy inc one oldest confectionery firm united state subsidiary hershey company company established young smylie also make apple licorice twist green color blue raspberry licorice twist like br br keep dry cool place recommended put fridge according guinness book record longest licorice twist ever made measured foot weighted pound kg made candy inc record breaking twist became guinness world record july product kosher thank,1
