Month,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
2000-06,0,0,2,0,0
2004-06,0,1,0,0,0
2004-08,0,0,2,0,0
2004-12,1,0,0,0,0
2005-01,0,0,1,0,0
2005-02,2,0,1,0,0
2005-09,0,0,3,0,0
2005-10,1,0,0,0,0
2005-12,0,0,1,0,0
2006-02,0,0,2,0,0
2006-03,2,1,0,0,0
2006-06,0,1,2,0,0
2006-07,0,1,2,0,0
2006-08,3,1,8,0,0
2006-09,3,1,4,1,0
2006-10,0,0,1,0,0
2006-11,2,1,8,1,0
2006-12,0,0,5,0,0
2007-01,0,0,16,1,0
2007-02,3,1,8,0,0
2007-03,1,5,12,0,0
2007-04,0,1,6,0,1
2007-05,3,4,8,0,1
2007-06,1,1,7,0,3
2007-07,2,4,8,0,0
2007-08,1,1,5,0,0
2007-09,3,2,5,0,0
2007-10,0,3,7,0,0
2007-11,0,2,4,1,1
2007-12,0,4,5,3,2
2008-01,2,4,16,1,0
2008-02,0,9,3,0,0
2008-03,6,1,11,0,1
2008-04,1,6,8,1,2
2008-05,5,6,9,1,0
2008-06,2,10,5,2,0
2008-07,1,19,12,3,0
2008-08,0,5,10,4,0
2008-09,1,4,8,2,0
2008-10,2,1,5,1,0
2008-11,1,1,8,1,0
2008-12,1,2,5,0,0
2009-01,2,8,12,2,0
2009-02,5,2,14,1,0
2009-03,2,4,6,1,2
2009-04,4,1,6,3,0
2009-05,3,4,17,0,1
2009-06,3,12,16,3,0
2009-07,5,5,12,3,0
2009-08,4,3,14,0,0
2009-09,4,7,15,5,3
2009-10,7,11,16,1,0
2009-11,3,7,16,2,1
2009-12,1,13,21,3,0
2010-01,10,9,24,2,1
2010-02,3,6,21,4,2
2010-03,3,7,23,3,5
2010-04,6,7,19,7,1
2010-05,3,8,29,6,0
2010-06,4,5,23,2,2
2010-07,4,17,31,6,0
2010-08,4,18,21,3,2
2010-09,9,18,30,2,4
2010-10,5,15,23,4,0
2010-11,5,12,21,1,2
2010-12,6,9,39,4,5
2011-01,8,11,47,3,3
2011-02,4,10,32,5,4
2011-03,16,6,33,8,1
2011-04,10,8,32,3,4
2011-05,9,12,35,5,6
2011-06,6,5,26,3,3
2011-07,8,10,33,6,5
2011-08,9,9,50,9,6
2011-09,10,9,42,2,5
2011-10,7,13,40,5,5
2011-11,5,7,39,5,6
2011-12,14,7,59,3,16
2012-01,14,19,61,8,15
2012-02,8,14,37,8,11
2012-03,9,17,50,7,5
2012-04,8,17,49,3,11
2012-05,9,13,47,9,15
2012-06,10,7,51,4,12
2012-07,3,4,40,7,10
2012-08,13,8,49,5,10
2012-09,11,11,67,14,4
2012-10,11,15,52,6,9
