Topic,Topic_Name,Rank,Keyword,Weight
1,Food & Pet Products,1,br,2.98597
1,Food & Pet Products,2,fat,0.119934
1,Food & Pet Products,3,sugar,0.093363
1,Food & Pet Products,4,mg,0.087462
1,Food & Pet Products,5,organic,0.085748
1,Food & Pet Products,6,water,0.083922
1,Food & Pet Products,7,like,0.083834
1,Food & Pet Products,8,product,0.081894
1,Food & Pet Products,9,ingredient,0.07967
1,Food & Pet Products,10,calorie,0.073486
2,Chips & Snack Flavors,1,chip,1.663563
2,Chips & Snack Flavors,2,bag,0.512009
2,Chips & Snack Flavors,3,flavor,0.504255
2,Chips & Snack Flavors,4,salt,0.463522
2,Chips & Snack Flavors,5,potato,0.424289
2,Chips & Snack Flavors,6,kettle,0.333978
2,Chips & Snack Flavors,7,vinegar,0.307507
2,Chips & Snack Flavors,8,great,0.288358
2,Chips & Snack Flavors,9,like,0.235975
2,Chips & Snack Flavors,10,calorie,0.230323
3,Tea & Beverages,1,food,0.575993
3,Tea & Beverages,2,product,0.555067
3,Tea & Beverages,3,good,0.497822
3,Tea & Beverages,4,love,0.487287
3,Tea & Beverages,5,one,0.432945
3,Tea & Beverages,6,great,0.421115
3,Tea & Beverages,7,dog,0.419764
3,Tea & Beverages,8,like,0.405227
3,Tea & Beverages,9,taste,0.353569
3,Tea & Beverages,10,mix,0.342769
4,Coffee Taste & Strength,1,tea,2.274622
4,Coffee Taste & Strength,2,green,0.498699
4,Coffee Taste & Strength,3,drink,0.303928
4,Coffee Taste & Strength,4,iced,0.283294
4,Coffee Taste & Strength,5,water,0.251309
4,Coffee Taste & Strength,6,like,0.214515
4,Coffee Taste & Strength,7,taste,0.203947
4,Coffee Taste & Strength,8,packet,0.179072
4,Coffee Taste & Strength,9,flavor,0.177251
4,Coffee Taste & Strength,10,stash,0.157749
5,"Pancake, Waffle & Baking Mixes",1,coffee,1.528181
5,"Pancake, Waffle & Baking Mixes",2,cup,0.504368
5,"Pancake, Waffle & Baking Mixes",3,taste,0.253973
5,"Pancake, Waffle & Baking Mixes",4,bold,0.245441
5,"Pancake, Waffle & Baking Mixes",5,like,0.233184
5,"Pancake, Waffle & Baking Mixes",6,strong,0.232753
5,"Pancake, Waffle & Baking Mixes",7,one,0.20834
5,"Pancake, Waffle & Baking Mixes",8,dark,0.202842
5,"Pancake, Waffle & Baking Mixes",9,smooth,0.200618
5,"Pancake, Waffle & Baking Mixes",10,flavor,0.196426
