Word,Frequency
br,3361
like,1328
chip,1215
flavor,1202
good,1068
taste,1021
one,930
product,915
great,904
love,829
tea,752
bag,741
food,716
make,540
get,533
would,532
really,531
time,499
much,478
amazon,455
also,446
coffee,444
best,429
buy,416
better,403
price,401
use,401
find,400
little,397
tried,384
brand,375
water,366
try,366
even,352
well,348
eat,341
sugar,339
store,339
potato,334
box,329
mix,328
dog,327
snack,299
salt,294
pack,292
favorite,290
go,289
first,288
calorie,288
year,281
day,270
drink,268
made,263
found,262
sweet,262
order,262
say,259
used,258
bought,257
thing,251
think,250
cup,242
delicious,240
ingredient,237
know,234
recommend,231
bit,231
many,229
add,227
way,226
could,223
give,222
since,221
still,218
lot,218
fat,216
green,210
want,209
free,209
two,208
chocolate,208
got,204
without,204
ever,199
healthy,198
review,197
kettle,196
come,195
quality,192
ordered,191
every,189
small,186
nice,185
tasty,184
something,184
organic,183
treat,179
eating,179
never,178
fresh,178
